counter,Number present,Missing,source,Binomial,rpl1p,rpl3,rpl4,rpl5,rpl6,rpl7,rpl7a,rpl7x1,rpl7x2,rpl8,rpl9,rpl10,rpl10a,rpl11,rpl12,rpl13,rpl13a,rpl14 mito,rpl14reg,rpl15,rpl17,rpl18a,rpl18,rpl19,rpl21,rpl22,rpl23,rpl23a,rpl23z,rpl24,rpl26,rpl27,rpl30,rpl31,rpl32,rpl33mito,rpL34,rpl35,rpl35a,rpl36e,rpl37,rpl42,rps0,rps2,rpS3,rps3z,rps4,rps5,rps6,rps7,rps8,rps9,rps10,rps11,rps12m,rps13,rps14,rps15,rps15a,rps16,rps17,rps18,rps19,rps20,rps21,rps23,rps24,rps25,rps26a,rps27,rps28,rps29,rps30
45,67,6,www,Symbiodiniumsp. CassKB8,c47144,rep_c1880,rep_c4852,rep_c8,rep_c51548,rep_c778,c35574,rep_c12189,rep_c375,rep_c10370,rep_c7958,rep_c1076,rep_c8804,rep_c51864,rep_c21718,rep_c51584,rep_c14123,NaN,rep_c27078,rep_c8283,rep_c13301,rep_c2557,rep_c27045,rep_c2513,rep_c5821,c42665,c52839,rep_c17334,c12109,rep_c1995,s53914,c23599,c27888,c25071,rep_c56564,NaN,rep_c31638,rep_c28033,rep_c19230,c38722,c42615,c27101,rep_c10366,rep_c20369,rep_c763,s59743,rep_c740,rep_c7663,rep_c242,rep_c15587,rep_c34562,rep_c51429,rep_c772,c33424,rep_c21126,rep_c28507,c34337,rep_c16209,rep_c46000,rep_c2876,c30365,rep_c52929,rep_c3125,c29335,NaN,rep_c51881,rep_c31054,NaN,c29235,s59520,NaN,rep_c898,NaN
46,65,8,www,Symbiodinium Mf1.05b,NaN,rep_c8505,rep_c7968,rep_c12795,c21336,rep_c12596,c12699,c31604,rep_c13440,c34526,rep_c13924,rep_c21018,rep_c11850,c21247,rep_c12123,rep_c20882,rep_c15147,NaN,c19620,c26865,rep_c9539,rep_c20148,NaN,rep_c19850,rep_c4751,s54085,rep_c22454,c41682,c23226,c42805,s48892,rep_c21837,c33652,rep_c30612,c15826,NaN,NaN,c38090,c23779,NaN,c25680,c25638,c193012,c19653,rep_c15541,c13650,rep_c3291,rep_c26864,rep_c14694,rep_c12334,rep_c11725,NaN,rep_c30481,rep_c12458,rep_c16540,rep_c27177,s64177,c27467,NaN,c22695,c23154,c18031,rep_c15040,c19762,c17802,rep_c8557,s52006,s63445,rep_c16371,c32926,rep_c17558,c26814,c39220
47,73,0,local,Crypthecodinium cohnii,A_Din_c69762,CA12_cot50_003a_e08.q1cb,CA5_PTA.1590.C1,A_Din_c15192,A_Din_c20165,A_Din_c19512,A_Din_lrc36169,A_Din_c69698,CA12_cot50_001c_f03.q1cb,A_Din_c23450,A_Din_c17651,A_Din_c19510,CA5_cn_024b_d01.q1ca,A_Din_c22520,A_Din_c24340,A_Din_c18174,A_Din_c14955,A_Din_c52245,A_Din_c17110,A_Din_c20866,A_Din_c17240,A_Din_c25043,CA12_cot500_002a_h11.q1cb,CA12_cot500_004b_a07.q1cb,A_Din_c20091,A_Din_c64664,CA12_cot500_002a_f06.q1cb,GHW5WTI01EFH2J,A_Din_lrc42362,A_Din_c83047,A_Din_c83061,A_Din_c21661,A_Din_c18946,A_Din_c42561,A_Din_c14973,A_Din_c68888,A_Din_c24069,A_Din_c21582,A_Din_c18331,GHTF05G01B05XW,A_Din_c17041,CA5_cli_026d_a10.q1ca,A_Din_c16065,CA12_PTA.259.C1,A_Din_c20166,A_Din_c19125,A_Din_c22384,A_Din_c28328,A_Din_c19382,A_Din_c16700,A_Din_c19598,CA5_cn_008a_e03.q1ca,A_Din_c22390,A_Din_c12150,A_Din_c86317,A_Din_c17552,A_Din_c20879,A_Din_c48116,A_Din_c18139,A_Din_c44562,GHW5WTI01AKZI,A_Din_c12099,A_Din_c15579,A_Din_c19969,A_Din_c28602,A_Din_c12696,A_Din_c19550,A_Din_c21882,A_Din_c21664,GHW5WTI01CS61D,A_Din_lrc44786,GHTF05G01BDBF7,CA5_cn_022b_b10.q1ca
48,68,5,local,Polarella glacialis,comp46326_c0_seq1,comp419,comp739_c0_seq1,comp141_c0_seq1,comp25300_c0_seq1,comp491_c0_seq6,comp5510_c0_seq4,comp2017_c0_seq1,NaN,comp210_c2_seq4,comp368_c1_seq5,comp229,comp626_c0_seq3,comp223_c1_seq5,comp903_,comp535_c0_seq1,comp708_c1_seq4,comp25823_c0_seq1,comp1342_c0_seq2,comp534_c0_seq4,NaN,comp498_c0_seq2,comp986_c0_seq2,comp653_c1_seq3,comp6564_c0_seq2,comp342_c0_seq7,comp870_c0_seq1,comp527_c0_seq2,comp41721_c0_seq1,comp5016_c0_seq1,comp3715_c0_seq1,comp606_c0_seq1,comp1355_c0_seq1,comp1318_c1_seq1,comp62_c0_seq7,comp95270_c0_seq1,comp1990_c0_seq3,comp1004_c0_seq1,comp1308_c1_seq1,comp470_c0_seq4,comp969_c0_seq4,comp806_c2_seq5,comp350_c0_seq4,comp3983_c0_seq1,NaN,comp337_c0_seq2,comp22_c2_seq5,comp828_c0_seq1,comp414_c3_seq5,comp440_c0_seq1,comp238_c0_seq1,comp440_c1_seq2,comp426_c0_seq3,comp317_c0_seq2,comp979_c0_seq4,comp1081_c0_seq1,comp3888_c0_seq1,comp320_c0_seq1,comp913_c0_seq1,comp12470_c0_seq1,NaN,comp15389_c0_seq1,NaN,comp16143_c0_seq1,comp1392_c1_seq4,comp801_c0_seq2,comp492_c1_seq2,comp189_c0_seq4,comp804_c1_seq1,comp211_c0_seq1,comp8357_c0_seq1,comp905_c0_seq2,comp1398_c0_seq3
49,19,54,db_est,Alexandrium minutum,NaN,NaN,NaN,NaN,297645029,297649179,NaN,NaN,297638672,NaN,297649810,NaN,297640776,297650749,297648208,NaN,NaN,297652754,NaN,NaN,NaN,297643104,NaN,NaN,297651946,297653906,NaN,NaN,NaN,NaN,NaN,297640805,NaN,NaN,297652421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,297647831,NaN,NaN,297636811,NaN,NaN,NaN,297650229,NaN,297642583,NaN,297642715,NaN,297654035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,15,58,db_est,Alexandrium catenella,NaN,186959879,186961407,186958764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,186955931,NaN,186956417,NaN,186959175,NaN,186953839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,186953384,NaN,NaN,NaN,NaN,186956188,NaN,186953240,NaN,186962915,186957443,NaN,NaN,186954095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,186957262,NaN,NaN,NaN,NaN,186954479,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,45,28,db_est,Alexandrium tamarense,NaN,54437251,NaN,NaN,38452856,42750243,NaN,NaN,38451954,NaN,42750425,42748805,42750971,54438234,54436475,NaN,37760267,NaN,40759771,37648261,40759832,58179869,NaN,37760140,38453084,NaN,40756765,NaN,NaN,NaN,40757537,42752092,42750453,40756946,40759592,NaN,42748769,40759480,40758576,NaN,NaN,42748161,NaN,40754868,38452627,NaN,42751845,NaN,54436090,40757405,NaN,NaN,42748729,42752193,54436192,NaN,NaN,42749651,40754885,NaN,40758541,40756146,NaN,40758343,NaN,37760016,38452239,42749473,NaN,42752169,40755966,NaN,58179676
52,69,4,www,Alexandrium tamarense,NaN,NaN,at08493,at09020,at34634,at04117,at22728,at03772,at22917,at15816,at30742,at04994,at07822,NaN,at26175,at26038,at10352,at26898,at25187,at23053,at20433,at32936,at09817,at20863,at08094,at19454,at29463,at27976,NaN,at03133,at34790,at11421,at28150,at13464,at10612,at25871,at19848,at05438,at17117,at16778,at33131,at01482,at14378,at15195,at00479,at01688,at15095,at01746,at10529,at08866,at21186,at16364,at13307,at29289,at06371,at30040,at08395,at34169,at01352,at11420,at33926,at27037,at16185,at33329,at07614,at14009,at30665,at16946,at30558,at26703,at31787,at22328,at20313
53,73,0,www,Lingulodinium polyedrum,346268737,346279628,346244372,346231042,346297673,346276810,346248202,346253609,346252918,346273383,346273961,346281440,346246723,346241843,346294255,346251507,346262112,346255001,346231053,346285850,346265218,346243840,346270338,346255073,346263390,346255527,346275395,346243220,346252689,346261040,346253467,346266885,346249209,346255596,346237628,346280405,346233467,346248533,346277153,346264895,346264707,346259326,346300479,346257993,346303639,346257647,346249737,346281952,346241156,346300330,346257703,346254208,346255985,346276000,346245363,346232747,346232780,346251619,346293777,346233200,346255072,346277392,346232021,346297988,346250817,346254584,346305800,346286015,346249861,346238818,346268040,346259633,346238439
54,69,4,nr_nt,Chromera velia,343857794,343867225,NaN,343854970,343867979,343876805,343876965,343852419,343874477,343859063,343852248,343851390,343852227,343866602,343850724,343851045,343859025,343866835,343863610,343860844,343859669,343867782,343868533,343873106,343856411,343871218,343857360,343855005,343876815,343858964,343867126,343868854,NaN,343862152,343868544,NaN,343851699,343856248,343859972,343856557,343873959,343855410,NaN,343872313,343865850,343860965,343860640,343869524,343858124,343871497,343871198,343864282,343851140,343861384,343860976,343874267,343875697,343852926,343859257,343851716,343873612,343868126,343869683,343863312,343864609,343853151,343868871,343859529,343871002,343862987,343876664,343876250,343876365
